"week"	"observed"	"state"
1	0	0
2	0	0
3	0	0
4	0	0
5	1	0
6	0	0
7	1	0
8	1	0
9	1	0
10	0	0
11	2	0
12	5	0
13	1	0
14	2	0
15	2	0
16	1	0
17	2	0
18	1	0
19	1	0
20	2	0
21	0	0
22	0	0
23	0	0
24	1	0
25	0	0
26	0	0
27	2	0
28	3	0
29	3	0
30	0	0
31	1	0
32	0	0
33	0	0
34	1	0
35	0	0
36	2	0
37	1	0
38	0	0
39	1	0
40	3	0
41	3	0
42	14	1
43	19	1
44	31	1
45	46	1
46	40	1
47	45	1
48	33	1
49	47	1
50	27	1
51	24	1
52	8	1
53	0	1
54	16	1
55	13	0
56	7	0
57	13	0
58	7	0
59	2	0
60	1	0
61	2	0
62	10	0
63	3	0
64	3	0
65	4	0
66	1	0
67	1	0
68	2	0
69	3	0
70	2	0
71	1	0
72	3	0
73	0	0
74	1	0
75	0	0
76	0	0
77	4	0
78	1	0
79	3	0
80	0	0
81	1	0
82	0	0
83	1	0
84	3	0
85	3	0
86	3	0
87	0	0
88	0	0
89	1	0
90	2	0
91	0	0
92	0	0
93	0	0
94	2	0
95	1	0
96	1	0
97	0	0
98	0	0
99	1	0
100	1	0
101	0	0
102	1	0
103	1	0
104	3	0
105	0	0
106	0	0
107	0	0
108	0	0
109	1	0
110	0	0
111	2	0
112	0	0
113	1	0
114	0	0
115	0	0
116	3	0
117	3	0
118	0	0
119	1	0
120	0	0
121	1	0
122	2	0
123	0	0
124	0	0
125	0	0
126	2	0
127	1	0
128	2	0
129	1	0
130	1	0
131	1	0
132	0	0
133	0	0
134	0	0
135	0	0
136	1	0
137	0	0
138	0	0
139	0	0
140	3	0
141	1	0
142	1	0
143	0	0
144	0	0
145	2	0
146	2	0
147	0	0
148	1	0
149	1	0
150	0	0
151	1	0
152	1	0
153	1	0
154	0	0
155	0	0
156	1	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	1	0
163	0	0
164	0	0
165	1	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	3	0
174	1	0
175	0	0
176	0	0
177	2	0
178	3	0
179	1	0
180	1	0
181	0	0
182	2	0
183	2	0
184	2	0
185	0	0
186	0	0
187	0	0
188	1	0
189	0	0
190	0	0
191	0	0
192	0	0
193	3	0
194	0	0
195	1	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
